TIME	X:1	R:1	Y:1	noise:1
0	0.1818	0.09891	0.211	0.00502705
0.1	0.18180016	0.09890884	0.21100049	0.00490836
0.2	0.18180024	0.09890775	0.21100076	0.00483895
0.3	0.18180029	0.09890675	0.21100086	0.00486117
0.4	0.18180034	0.09890581	0.2110008	0.0047507
0.5	0.18180041	0.09890494	0.21100061	0.00479041
0.6	0.18180052	0.09890412	0.2110003	0.00489214
0.7	0.1818007	0.09890337	0.21099989	0.00510726
0.8	0.18180097	0.09890268	0.2109994	0.00511423
0.9	0.18180133	0.09890204	0.21099884	0.00508442
1	0.1818018	0.09890146	0.21099823	0.0048536
1.1	0.18180238	0.09890094	0.21099758	0.00489594
1.2	0.18180308	0.09890047	0.2109969	0.00502896
1.3	0.18180391	0.09890005	0.2109962	0.00504932
1.4	0.18180485	0.09889969	0.21099549	0.00499869
1.5	0.18180592	0.09889939	0.21099478	0.00477088
1.6	0.18180711	0.09889914	0.21099408	0.00506021
1.7	0.18180842	0.09889895	0.21099339	0.00475371
1.8	0.18180984	0.09889881	0.21099273	0.00482014
1.9	0.18181136	0.09889873	0.21099211	0.00505486
2	0.18181299	0.09889871	0.21099151	0.00496552
2.1	0.1818147	0.09889873	0.21099097	0.00482715
2.2	0.18181649	0.09889881	0.21099047	0.00497928
2.3	0.18181835	0.09889894	0.21099002	0.00500684
2.4	0.18182027	0.09889912	0.21098963	0.00505744
2.5	0.18182223	0.09889935	0.21098929	0.00480279
2.6	0.18182423	0.09889963	0.21098903	0.00507551
2.7	0.18182625	0.09889995	0.21098882	0.00506868
2.8	0.18182828	0.09890031	0.21098869	0.00486023
2.9	0.1818303	0.09890071	0.21098862	0.00483239
3	0.18183231	0.09890114	0.21098862	0.00482132
3.1	0.18183429	0.09890161	0.21098869	0.00489219
3.2	0.18183622	0.09890211	0.21098883	0.00513981
3.3	0.1818381	0.09890263	0.21098904	0.00502216
3.4	0.18183992	0.09890318	0.21098932	0.0050844
3.5	0.18184165	0.09890374	0.21098966	0.00501836
3.6	0.1818433	0.09890432	0.21099006	0.00509515
3.7	0.18184484	0.09890491	0.21099053	0.0050937
3.8	0.18184627	0.0989055	0.21099105	0.00481263
3.9	0.18184758	0.0989061	0.21099163	0.00480046
4	0.18184877	0.09890669	0.21099226	0.00504305
4.1	0.18184982	0.09890728	0.21099293	0.00484906
4.2	0.18185072	0.09890787	0.21099365	0.00484194
4.3	0.18185148	0.09890843	0.2109944	0.00513532
4.4	0.18185208	0.09890898	0.21099519	0.00509882
4.5	0.18185252	0.09890951	0.210996	0.00488064
4.6	0.18185281	0.09891002	0.21099683	0.00500948
4.7	0.18185293	0.09891049	0.21099768	0.00493485
4.8	0.18185289	0.09891094	0.21099853	0.00494308
4.9	0.18185269	0.09891135	0.21099939	0.00513661
5	0.18185233	0.09891173	0.21100025	0.00507742
5.1	0.18185181	0.09891206	0.21100111	0.00494651
5.2	0.18185114	0.09891236	0.21100195	0.00496849
5.3	0.18185032	0.09891261	0.21100277	0.00503535
5.4	0.18184936	0.09891282	0.21100356	0.00489005
5.5	0.18184826	0.09891298	0.21100433	0.0049863
5.6	0.18184703	0.09891309	0.21100507	0.00509412
5.7	0.18184568	0.09891316	0.21100576	0.00501474
5.8	0.18184422	0.09891318	0.21100641	0.00507176
5.9	0.18184265	0.09891314	0.21100701	0.00492917
6	0.181841	0.09891307	0.21100756	0.00500312
6.1	0.18183927	0.09891294	0.21100806	0.00480253
6.2	0.18183746	0.09891277	0.21100849	0.00477584
6.3	0.18183561	0.09891255	0.21100887	0.00491662
6.4	0.18183371	0.09891229	0.21100918	0.00476184
6.5	0.18183178	0.09891198	0.21100942	0.00492042
6.6	0.18182983	0.09891164	0.2110096	0.00481463
6.7	0.18182787	0.09891126	0.21100971	0.00513663
6.8	0.18182593	0.09891084	0.21100975	0.00512504
6.9	0.181824	0.0989104	0.21100972	0.00502666
7	0.18182211	0.09890992	0.21100962	0.00506485
7.1	0.18182027	0.09890941	0.21100945	0.00488869
7.2	0.18181849	0.09890889	0.21100921	0.00480404
7.3	0.18181678	0.09890835	0.21100891	0.00511525
7.4	0.18181515	0.09890779	0.21100855	0.00477531
7.5	0.18181361	0.09890721	0.21100812	0.00475122
7.6	0.18181217	0.09890664	0.21100764	0.00498149
7.7	0.18181085	0.09890605	0.2110071	0.00505597
7.8	0.18180965	0.09890547	0.21100651	0.00485871
7.9	0.18180858	0.09890489	0.21100588	0.00513457
8	0.18180765	0.09890432	0.2110052	0.0047987
8.1	0.18180686	0.09890376	0.21100448	0.00483344
8.2	0.18180621	0.09890322	0.21100373	0.00486994
8.3	0.18180572	0.0989027	0.21100295	0.00493838
8.4	0.18180538	0.0989022	0.21100215	0.00512193
8.5	0.18180519	0.09890172	0.21100134	0.00482695
8.6	0.18180517	0.09890127	0.21100051	0.00512748
8.7	0.1818053	0.09890086	0.21099967	0.00497077
8.8	0.18180559	0.09890048	0.21099883	0.00500629
8.9	0.18180603	0.09890013	0.210998	0.00482989
9	0.18180663	0.09889983	0.21099718	0.0049989
9.1	0.18180737	0.09889957	0.21099637	0.00511085
9.2	0.18180825	0.09889935	0.21099558	0.00489888
9.3	0.18180927	0.09889917	0.21099482	0.00500756
9.4	0.18181041	0.09889904	0.2109941	0.00493828
9.5	0.18181168	0.09889896	0.21099341	0.00491652
9.6	0.18181306	0.09889892	0.21099276	0.00485799
9.7	0.18181454	0.09889893	0.21099215	0.00501983
9.8	0.18181612	0.09889899	0.21099159	0.00478063
9.9	0.18181777	0.0988991	0.21099109	0.00486786
10	0.1818195	0.09889925	0.21099064	0.00500504
10.1	0.18182129	0.09889944	0.21099025	0.00480393
10.2	0.18182312	0.09889968	0.21098993	0.00499078
10.3	0.18182499	0.09889996	0.21098966	0.00511585
10.4	0.18182688	0.09890028	0.21098946	0.0048957
10.5	0.18182878	0.09890063	0.21098933	0.00495718
10.6	0.18183068	0.09890102	0.21098927	0.00482505
10.7	0.18183256	0.09890145	0.21098927	0.00476799
10.8	0.18183441	0.0989019	0.21098934	0.00492367
10.9	0.18183623	0.09890238	0.21098947	0.00475319
11	0.18183799	0.09890288	0.21098968	0.00480243
11.1	0.18183968	0.0989034	0.21098995	0.00505339
11.2	0.1818413	0.09890394	0.21099027	0.00482397
11.3	0.18184283	0.09890449	0.21099066	0.00489235
11.4	0.18184427	0.09890506	0.21099111	0.00478723
11.5	0.1818456	0.09890562	0.21099161	0.00486809
11.6	0.18184682	0.09890619	0.21099217	0.0050252
11.7	0.18184791	0.09890675	0.21099277	0.00499559
11.8	0.18184888	0.09890731	0.21099341	0.00474936
11.9	0.18184971	0.09890786	0.21099409	0.00512849
12	0.18185039	0.09890839	0.21099481	0.005072
12.1	0.18185093	0.09890891	0.21099556	0.00512227
12.2	0.18185132	0.09890941	0.21099633	0.00503752
12.3	0.18185156	0.09890988	0.21099712	0.00499045
12.4	0.18185165	0.09891033	0.21099792	0.00488145
12.5	0.18185158	0.09891075	0.21099873	0.00512313
12.6	0.18185137	0.09891113	0.21099955	0.00508296
12.7	0.181851	0.09891148	0.21100036	0.00475017
12.8	0.18185048	0.09891179	0.21100117	0.00484479
12.9	0.18184981	0.09891206	0.21100196	0.00486726
13	0.18184901	0.09891229	0.21100273	0.00498321
13.1	0.18184807	0.09891248	0.21100348	0.00511558
13.2	0.18184701	0.09891263	0.2110042	0.00490043
13.3	0.18184582	0.09891273	0.21100489	0.00483554
13.4	0.18184452	0.09891278	0.21100554	0.00505993
13.5	0.18184312	0.09891279	0.21100615	0.00477572
13.6	0.18184162	0.09891275	0.21100671	0.00485526
13.7	0.18184004	0.09891267	0.21100722	0.00486647
13.8	0.18183839	0.09891254	0.21100768	0.00488892
13.9	0.18183667	0.09891237	0.21100808	0.00509529
14	0.18183491	0.09891215	0.21100842	0.00504192
14.1	0.1818331	0.0989119	0.2110087	0.0048494
14.2	0.18183127	0.0989116	0.21100892	0.00475985
14.3	0.18182942	0.09891127	0.21100908	0.0050198
14.4	0.18182757	0.0989109	0.21100917	0.00498979
14.5	0.18182573	0.0989105	0.21100919	0.00510186
14.6	0.18182392	0.09891008	0.21100915	0.00507977
14.7	0.18182214	0.09890962	0.21100904	0.00505793
14.8	0.1818204	0.09890914	0.21100887	0.00488455
14.9	0.18181873	0.09890864	0.21100864	0.00503298
15	0.18181712	0.09890812	0.21100834	0.00504568
15.1	0.18181559	0.09890759	0.21100799	0.00476161
15.2	0.18181415	0.09890705	0.21100757	0.004873
15.3	0.18181282	0.0989065	0.21100711	0.00490192
15.4	0.18181159	0.09890594	0.21100659	0.00475521
15.5	0.18181047	0.09890539	0.21100602	0.004806
15.6	0.18180948	0.09890485	0.21100541	0.0047625
15.7	0.18180862	0.09890431	0.21100476	0.00487171
15.8	0.1818079	0.09890378	0.21100408	0.00490934
15.9	0.18180731	0.09890327	0.21100336	0.00496444
16	0.18180687	0.09890278	0.21100262	0.00485908
16.1	0.18180658	0.09890231	0.21100186	0.00493103
16.2	0.18180643	0.09890186	0.21100108	0.00506199
16.3	0.18180644	0.09890145	0.2110003	0.0048765
16.4	0.18180659	0.09890106	0.2109995	0.00510301
16.5	0.18180689	0.09890071	0.21099871	0.00497839
16.6	0.18180734	0.09890039	0.21099792	0.00480744
16.7	0.18180793	0.09890011	0.21099715	0.00498723
16.8	0.18180865	0.09889987	0.21099639	0.0049768
16.9	0.18180951	0.09889967	0.21099565	0.00503069
17	0.1818105	0.09889951	0.21099494	0.00485417
17.1	0.18181161	0.09889939	0.21099425	0.00481343
17.2	0.18181283	0.09889932	0.21099361	0.00505326
17.3	0.18181415	0.0988993	0.210993	0.00480155
17.4	0.18181557	0.09889932	0.21099243	0.00481043
17.5	0.18181708	0.09889938	0.21099191	0.004767
17.6	0.18181866	0.09889949	0.21099145	0.00489473
17.7	0.1818203	0.09889963	0.21099103	0.00493533
17.8	0.181822	0.09889983	0.21099068	0.00486631
17.9	0.18182375	0.09890006	0.21099038	0.00488348
18	0.18182552	0.09890033	0.21099014	0.0050448
18.1	0.18182731	0.09890064	0.21098996	0.00513693
18.2	0.18182911	0.09890098	0.21098985	0.00498349
18.3	0.18183091	0.09890136	0.2109898	0.00485611
18.4	0.18183268	0.09890177	0.21098981	0.0048073
18.5	0.18183443	0.0989022	0.21098989	0.00499422
18.6	0.18183614	0.09890266	0.21099003	0.00477177
18.7	0.1818378	0.09890314	0.21099024	0.00480596
18.8	0.18183939	0.09890363	0.2109905	0.00488874
18.9	0.18184091	0.09890415	0.21099082	0.00505722
19	0.18184234	0.09890467	0.2109912	0.00513066
19.1	0.18184369	0.0989052	0.21099164	0.00500709
19.2	0.18184493	0.09890574	0.21099212	0.00476948
19.3	0.18184606	0.09890628	0.21099265	0.00482274
19.4	0.18184707	0.09890681	0.21099323	0.00489562
19.5	0.18184796	0.09890734	0.21099385	0.00493689
19.6	0.18184872	0.09890785	0.2109945	0.00481954
19.7	0.18184934	0.09890836	0.21099518	0.00502923
19.8	0.18184983	0.09890884	0.2109959	0.00499022
19.9	0.18185017	0.09890931	0.21099663	0.00476626
20	0.18185037	0.09890975	0.21099738	0.00475464
20.1	0.18185043	0.09891017	0.21099814	0.0049268
20.2	0.18185034	0.09891056	0.21099891	0.00496671
20.3	0.1818501	0.09891092	0.21099968	0.00506078
20.4	0.18184973	0.09891124	0.21100045	0.00503682
20.5	0.18184921	0.09891153	0.21100121	0.00504286
20.6	0.18184856	0.09891178	0.21100196	0.00498984
20.7	0.18184777	0.09891199	0.21100269	0.0050858
20.8	0.18184686	0.09891216	0.21100339	0.00488483
20.9	0.18184583	0.09891229	0.21100407	0.00505605
21	0.18184469	0.09891238	0.21100471	0.00484921
21.1	0.18184344	0.09891242	0.21100532	0.00504286
21.2	0.1818421	0.09891242	0.21100589	0.00500092
21.3	0.18184066	0.09891238	0.21100641	0.00491427
21.4	0.18183915	0.09891229	0.21100688	0.00511967
21.5	0.18183757	0.09891216	0.21100731	0.00503728
21.6	0.18183594	0.09891199	0.21100768	0.00492481
21.7	0.18183426	0.09891178	0.21100799	0.00507918
21.8	0.18183254	0.09891153	0.21100825	0.00485371
21.9	0.18183081	0.09891125	0.21100845	0.00479698
22	0.18182906	0.09891093	0.21100858	0.00513302
22.1	0.18182731	0.09891057	0.21100865	0.00488326
