TIME	X:1	R:1	Y:1	noise:1
0	0.02729	0.01708	0.09109	0.00179328
0.1	0.02729203	0.01707988	0.09109009	0.00173969
0.2	0.02729337	0.01707983	0.09109016	0.00181758
0.3	0.02729425	0.01707983	0.09109023	0.00161654
0.4	0.02729482	0.01707987	0.09109029	0.00182844
0.5	0.02729518	0.01707992	0.09109037	0.00169298
0.6	0.0272954	0.01707997	0.09109045	0.00176081
0.7	0.02729551	0.01708003	0.09109053	0.00164726
0.8	0.02729556	0.01708009	0.09109062	0.00178117
0.9	0.02729555	0.01708015	0.09109072	0.00182773
1	0.02729551	0.0170802	0.09109083	0.00176893
1.1	0.02729545	0.01708024	0.09109094	0.0017692
1.2	0.02729536	0.01708028	0.09109105	0.00154042
1.3	0.02729527	0.01708031	0.09109116	0.00168923
1.4	0.02729516	0.01708034	0.09109128	0.00186819
1.5	0.02729504	0.01708036	0.09109139	0.00181939
1.6	0.02729492	0.01708037	0.09109151	0.00179545
1.7	0.0272948	0.01708038	0.09109162	0.0016133
1.8	0.02729468	0.01708038	0.09109173	0.00168145
1.9	0.02729455	0.01708038	0.09109184	0.00173387
2	0.02729443	0.01708037	0.09109194	0.00168892
2.1	0.02729432	0.01708036	0.09109204	0.00171921
2.2	0.0272942	0.01708034	0.09109214	0.00175943
2.3	0.02729409	0.01708032	0.09109222	0.00173115
2.4	0.02729398	0.0170803	0.09109231	0.00168264
2.5	0.02729388	0.01708028	0.09109238	0.0018525
2.6	0.02729379	0.01708025	0.09109245	0.00164719
2.7	0.0272937	0.01708022	0.09109251	0.00166686
2.8	0.02729362	0.01708019	0.09109257	0.00180139
2.9	0.02729355	0.01708015	0.09109262	0.00172789
3	0.02729348	0.01708012	0.09109266	0.00173949
3.1	0.02729343	0.01708009	0.0910927	0.00160653
3.2	0.02729337	0.01708005	0.09109273	0.00160406
3.3	0.02729333	0.01708002	0.09109275	0.00184587
3.4	0.02729329	0.01707999	0.09109277	0.00175926
3.5	0.02729326	0.01707996	0.09109278	0.00186309
3.6	0.02729324	0.01707993	0.09109279	0.00186859
3.7	0.02729322	0.0170799	0.09109279	0.00161497
3.8	0.02729321	0.01707987	0.09109279	0.00180263
3.9	0.0272932	0.01707984	0.09109278	0.0017279
4	0.0272932	0.01707982	0.09109277	0.00161505
4.1	0.0272932	0.01707979	0.09109276	0.00165847
4.2	0.02729321	0.01707977	0.09109274	0.00177386
4.3	0.02729322	0.01707975	0.09109272	0.00154682
4.4	0.02729324	0.01707974	0.0910927	0.00164106
4.5	0.02729326	0.01707972	0.09109268	0.00186965
4.6	0.02729328	0.01707971	0.09109265	0.00165206
4.7	0.0272933	0.0170797	0.09109262	0.00181918
4.8	0.02729333	0.01707969	0.0910926	0.00161794
4.9	0.02729336	0.01707968	0.09109257	0.00176725
5	0.02729339	0.01707967	0.09109254	0.00174378
5.1	0.02729342	0.01707967	0.09109251	0.00183623
5.2	0.02729345	0.01707966	0.09109248	0.00183635
5.3	0.02729348	0.01707966	0.09109245	0.00180363
5.4	0.02729351	0.01707966	0.09109243	0.00186187
5.5	0.02729354	0.01707966	0.0910924	0.00169934
5.6	0.02729357	0.01707966	0.09109237	0.00168862
5.7	0.0272936	0.01707967	0.09109235	0.00184375
5.8	0.02729363	0.01707967	0.09109233	0.00157373
5.9	0.02729366	0.01707968	0.0910923	0.00160928
6	0.02729368	0.01707968	0.09109228	0.00179156
6.1	0.02729371	0.01707969	0.09109226	0.00187255
6.2	0.02729373	0.0170797	0.09109225	0.00174035
6.3	0.02729375	0.0170797	0.09109223	0.00183983
6.4	0.02729377	0.01707971	0.09109222	0.00175198
6.5	0.02729379	0.01707972	0.09109221	0.00174658
6.6	0.02729381	0.01707973	0.0910922	0.00154706
6.7	0.02729382	0.01707974	0.09109219	0.0016425
6.8	0.02729383	0.01707974	0.09109218	0.00175943
6.9	0.02729385	0.01707975	0.09109217	0.00154605
7	0.02729385	0.01707976	0.09109217	0.00175155
7.1	0.02729386	0.01707977	0.09109217	0.00177638
7.2	0.02729387	0.01707978	0.09109217	0.00163097
7.3	0.02729387	0.01707978	0.09109217	0.00164913
7.4	0.02729387	0.01707979	0.09109217	0.00177435
7.5	0.02729388	0.0170798	0.09109217	0.00165115
7.6	0.02729388	0.0170798	0.09109217	0.00164972
7.7	0.02729388	0.01707981	0.09109217	0.00160782
7.8	0.02729387	0.01707981	0.09109218	0.00161349
7.9	0.02729387	0.01707982	0.09109218	0.00184065
8	0.02729387	0.01707982	0.09109219	0.00181079
8.1	0.02729386	0.01707983	0.0910922	0.00164434
8.2	0.02729385	0.01707983	0.0910922	0.00158863
8.3	0.02729385	0.01707983	0.09109221	0.00184466
8.4	0.02729384	0.01707983	0.09109222	0.00168139
8.5	0.02729383	0.01707984	0.09109222	0.00166276
8.6	0.02729383	0.01707984	0.09109223	0.00158811
8.7	0.02729382	0.01707984	0.09109224	0.00172146
8.8	0.02729381	0.01707984	0.09109225	0.00184407
8.9	0.0272938	0.01707984	0.09109225	0.00185105
9	0.0272938	0.01707984	0.09109226	0.00161995
9.1	0.02729379	0.01707984	0.09109227	0.00182415
9.2	0.02729378	0.01707984	0.09109227	0.00187116
9.3	0.02729377	0.01707984	0.09109228	0.00173245
9.4	0.02729377	0.01707984	0.09109228	0.00183917
9.5	0.02729376	0.01707984	0.09109229	0.00166273
9.6	0.02729375	0.01707983	0.09109229	0.00186233
9.7	0.02729375	0.01707983	0.0910923	0.0016558
9.8	0.02729374	0.01707983	0.0910923	0.00171745
9.9	0.02729374	0.01707983	0.09109231	0.00160424
10	0.02729373	0.01707983	0.09109231	0.00172502
10.1	0.02729373	0.01707983	0.09109231	0.00179055
10.2	0.02729372	0.01707982	0.09109232	0.00156588
10.3	0.02729372	0.01707982	0.09109232	0.00162059
10.4	0.02729372	0.01707982	0.09109232	0.0015469
10.5	0.02729371	0.01707982	0.09109232	0.00167224
10.6	0.02729371	0.01707982	0.09109232	0.00162497
10.7	0.02729371	0.01707981	0.09109232	0.00172919
10.8	0.02729371	0.01707981	0.09109232	0.00162698
10.9	0.02729371	0.01707981	0.09109232	0.00184236
11	0.02729371	0.01707981	0.09109232	0.00155519
11.1	0.02729371	0.01707981	0.09109232	0.00177063
11.2	0.02729371	0.0170798	0.09109232	0.00184391
11.3	0.02729371	0.0170798	0.09109232	0.00164312
11.4	0.02729371	0.0170798	0.09109232	0.00165801
11.5	0.02729371	0.0170798	0.09109232	0.00175427
11.6	0.02729371	0.0170798	0.09109232	0.00174685
11.7	0.02729371	0.0170798	0.09109231	0.00166879
11.8	0.02729371	0.0170798	0.09109231	0.00183116
11.9	0.02729371	0.0170798	0.09109231	0.0016666
12	0.02729372	0.0170798	0.09109231	0.00184492
12.1	0.02729372	0.0170798	0.09109231	0.00162047
12.2	0.02729372	0.0170798	0.09109231	0.0017536
12.3	0.02729372	0.0170798	0.0910923	0.00166673
12.4	0.02729372	0.0170798	0.0910923	0.00185262
12.5	0.02729373	0.0170798	0.0910923	0.00173249
12.6	0.02729373	0.0170798	0.0910923	0.00164888
12.7	0.02729373	0.0170798	0.0910923	0.00158428
12.8	0.02729373	0.0170798	0.0910923	0.00182802
12.9	0.02729373	0.0170798	0.09109229	0.00163679
13	0.02729373	0.0170798	0.09109229	0.00170059
13.1	0.02729374	0.0170798	0.09109229	0.00164344
13.2	0.02729374	0.0170798	0.09109229	0.00168799
13.3	0.02729374	0.0170798	0.09109229	0.00184482
13.4	0.02729374	0.0170798	0.09109229	0.00154958
13.5	0.02729374	0.0170798	0.09109229	0.00187432
13.6	0.02729374	0.0170798	0.09109229	0.00182153
13.7	0.02729374	0.0170798	0.09109229	0.0016467
13.8	0.02729375	0.0170798	0.09109228	0.00162306
13.9	0.02729375	0.0170798	0.09109228	0.00158016
14	0.02729375	0.0170798	0.09109228	0.00160902
14.1	0.02729375	0.0170798	0.09109228	0.00163875
14.2	0.02729375	0.0170798	0.09109228	0.00170464
14.3	0.02729375	0.0170798	0.09109228	0.00157375
14.4	0.02729375	0.0170798	0.09109228	0.00160029
14.5	0.02729375	0.0170798	0.09109228	0.00156215
14.6	0.02729375	0.0170798	0.09109228	0.00169774
14.7	0.02729375	0.0170798	0.09109228	0.00179802
14.8	0.02729375	0.0170798	0.09109228	0.0016757
14.9	0.02729375	0.0170798	0.09109228	0.00162095
15	0.02729375	0.01707981	0.09109228	0.0018278
15.1	0.02729375	0.01707981	0.09109228	0.0016131
15.2	0.02729375	0.01707981	0.09109228	0.00158386
15.3	0.02729375	0.01707981	0.09109229	0.00167736
15.4	0.02729375	0.01707981	0.09109229	0.00155642
