TIME	X:1	R:1	Y:1	noise:1
0	0.2533	0.1299	0.2079	0.00663757
0.1	0.25329974	0.12990172	0.20789443	0.00669798
0.2	0.25330047	0.12990334	0.20788963	0.00657221
0.3	0.25330205	0.12990487	0.20788554	0.00658946
0.4	0.25330434	0.12990636	0.20788206	0.00630302
0.5	0.25330724	0.12990782	0.20787914	0.00671203
0.6	0.25331063	0.12990926	0.20787672	0.00671569
0.7	0.25331441	0.12991071	0.20787475	0.00658128
0.8	0.25331852	0.12991217	0.20787318	0.00659972
0.9	0.25332286	0.12991365	0.20787199	0.0067332
1	0.25332737	0.12991515	0.20787114	0.00640978
1.1	0.25333199	0.12991668	0.2078706	0.00633972
1.2	0.25333666	0.12991823	0.20787035	0.00646431
1.3	0.25334132	0.1299198	0.20787036	0.00624593
1.4	0.25334593	0.1299214	0.20787061	0.00646575
1.5	0.25335044	0.12992302	0.20787108	0.00630173
1.6	0.25335481	0.12992465	0.20787175	0.00630007
1.7	0.25335901	0.12992629	0.20787261	0.00659121
1.8	0.25336301	0.12992793	0.20787364	0.00658424
1.9	0.25336677	0.12992956	0.20787481	0.0066223
2	0.25337027	0.12993119	0.20787613	0.00675031
2.1	0.25337348	0.1299328	0.20787756	0.00628843
2.2	0.25337639	0.12993438	0.20787911	0.00630016
2.3	0.25337897	0.12993594	0.20788074	0.00651494
2.4	0.25338122	0.12993746	0.20788245	0.0065972
2.5	0.25338312	0.12993893	0.20788423	0.00672433
2.6	0.25338466	0.12994035	0.20788606	0.00662722
2.7	0.25338584	0.12994171	0.20788793	0.00668999
2.8	0.25338665	0.129943	0.20788982	0.0063599
2.9	0.2533871	0.12994423	0.20789172	0.00637773
3	0.25338717	0.12994538	0.20789362	0.00646916
3.1	0.25338688	0.12994645	0.20789551	0.00640872
3.2	0.25338623	0.12994743	0.20789738	0.00669049
3.3	0.25338523	0.12994833	0.20789921	0.00637854
3.4	0.25338389	0.12994913	0.207901	0.00625125
3.5	0.25338222	0.12994983	0.20790273	0.00635576
3.6	0.25338024	0.12995044	0.2079044	0.00645138
3.7	0.25337795	0.12995095	0.20790599	0.0064777
3.8	0.25337538	0.12995135	0.2079075	0.00647297
3.9	0.25337254	0.12995166	0.20790892	0.00663859
4	0.25336946	0.12995186	0.20791024	0.00659443
4.1	0.25336615	0.12995196	0.20791146	0.00630152
4.2	0.25336264	0.12995195	0.20791257	0.00674852
4.3	0.25335894	0.12995185	0.20791357	0.00630943
4.4	0.25335509	0.12995165	0.20791445	0.00640447
4.5	0.2533511	0.12995136	0.20791521	0.00642943
4.6	0.25334701	0.12995097	0.20791584	0.00641959
4.7	0.25334283	0.12995049	0.20791635	0.00658237
4.8	0.25333858	0.12994994	0.20791673	0.00641354
4.9	0.25333431	0.1299493	0.20791698	0.00636673
5	0.25333002	0.12994858	0.20791711	0.00646049
5.1	0.25332575	0.1299478	0.20791711	0.00633855
5.2	0.25332151	0.12994695	0.20791698	0.00649766
5.3	0.25331734	0.12994604	0.20791673	0.00629592
5.4	0.25331324	0.12994508	0.20791637	0.00635233
5.5	0.25330926	0.12994407	0.20791589	0.00651635
5.6	0.2533054	0.12994302	0.20791529	0.00657532
5.7	0.25330169	0.12994194	0.2079146	0.00642966
5.8	0.25329815	0.12994083	0.2079138	0.00643223
5.9	0.25329478	0.1299397	0.2079129	0.00665165
6	0.25329162	0.12993855	0.20791192	0.00660631
6.1	0.25328868	0.1299374	0.20791086	0.00656054
6.2	0.25328596	0.12993625	0.20790972	0.00666553
6.3	0.25328348	0.1299351	0.20790852	0.00639646
6.4	0.25328126	0.12993397	0.20790725	0.00642268
6.5	0.2532793	0.12993285	0.20790594	0.00625832
6.6	0.2532776	0.12993176	0.20790458	0.00649913
6.7	0.25327618	0.12993071	0.20790319	0.00658641
6.8	0.25327503	0.12992968	0.20790177	0.00663863
6.9	0.25327417	0.1299287	0.20790034	0.00661992
7	0.25327359	0.12992777	0.20789889	0.00648985
7.1	0.25327329	0.12992688	0.20789745	0.00644241
7.2	0.25327327	0.12992605	0.20789601	0.00636351
7.3	0.25327352	0.12992528	0.20789458	0.0066168
7.4	0.25327404	0.12992458	0.20789318	0.00636048
7.5	0.25327483	0.12992394	0.20789181	0.00642019
7.6	0.25327586	0.12992336	0.20789048	0.00663054
7.7	0.25327715	0.12992286	0.2078892	0.00624941
7.8	0.25327867	0.12992243	0.20788796	0.00628446
7.9	0.25328041	0.12992208	0.20788678	0.00640631
8	0.25328236	0.1299218	0.20788567	0.00630065
8.1	0.2532845	0.1299216	0.20788463	0.0063047
8.2	0.25328683	0.12992147	0.20788366	0.00644176
8.3	0.25328932	0.12992141	0.20788277	0.00656536
8.4	0.25329196	0.12992144	0.20788196	0.00649943
8.5	0.25329473	0.12992153	0.20788124	0.00640219
8.6	0.25329761	0.1299217	0.2078806	0.00631972
8.7	0.25330059	0.12992194	0.20788006	0.006644
8.8	0.25330364	0.12992224	0.20787961	0.00657949
8.9	0.25330676	0.12992261	0.20787925	0.00658631
9	0.25330991	0.12992304	0.20787899	0.00646688
9.1	0.25331309	0.12992353	0.20787883	0.00674863
9.2	0.25331627	0.12992407	0.20787876	0.00649633
9.3	0.25331944	0.12992467	0.20787878	0.00674425
9.4	0.25332257	0.12992531	0.2078789	0.00624848
9.5	0.25332566	0.129926	0.2078791	0.00631186
9.6	0.25332868	0.12992672	0.20787939	0.00625579
9.7	0.25333161	0.12992748	0.20787977	0.00637883
9.8	0.25333445	0.12992826	0.20788023	0.00641792
9.9	0.25333718	0.12992907	0.20788077	0.00673332
10	0.25333978	0.1299299	0.20788138	0.00627768
10.1	0.25334223	0.12993074	0.20788206	0.00668119
10.2	0.25334454	0.12993159	0.2078828	0.00628501
10.3	0.25334669	0.12993245	0.20788361	0.00654993
10.4	0.25334866	0.1299333	0.20788446	0.00665021
10.5	0.25335046	0.12993415	0.20788537	0.00651574
10.6	0.25335206	0.12993499	0.20788632	0.0062414
10.7	0.25335347	0.12993582	0.2078873	0.00629525
10.8	0.25335468	0.12993662	0.20788832	0.00657058
10.9	0.25335568	0.1299374	0.20788935	0.00628935
11	0.25335648	0.12993815	0.20789041	0.00629131
11.1	0.25335707	0.12993887	0.20789148	0.00660507
11.2	0.25335745	0.12993956	0.20789255	0.00645626
11.3	0.25335762	0.1299402	0.20789362	0.00643015
11.4	0.25335759	0.12994081	0.20789469	0.00656335
11.5	0.25335735	0.12994137	0.20789574	0.0066983
11.6	0.25335691	0.12994188	0.20789678	0.00643322
11.7	0.25335628	0.12994235	0.20789779	0.00675587
11.8	0.25335547	0.12994276	0.20789877	0.00626032
11.9	0.25335447	0.12994312	0.20789972	0.00658714
12	0.2533533	0.12994342	0.20790062	0.00652288
12.1	0.25335197	0.12994367	0.20790148	0.00639173
12.2	0.25335048	0.12994386	0.2079023	0.00644567
12.3	0.25334886	0.129944	0.20790306	0.00673189
12.4	0.2533471	0.12994408	0.20790377	0.00625451
12.5	0.25334522	0.12994411	0.20790441	0.00639526
12.6	0.25334324	0.12994408	0.207905	0.0064824
12.7	0.25334116	0.12994399	0.20790552	0.00663991
12.8	0.253339	0.12994386	0.20790597	0.00656344
12.9	0.25333677	0.12994367	0.20790636	0.00643373
13	0.25333449	0.12994343	0.20790667	0.0062373
13.1	0.25333217	0.12994314	0.20790692	0.00665146
13.2	0.25332982	0.12994281	0.2079071	0.00627494
13.3	0.25332746	0.12994244	0.2079072	0.00672497
13.4	0.2533251	0.12994203	0.20790724	0.00675643
13.5	0.25332275	0.12994157	0.2079072	0.00659679
13.6	0.25332043	0.12994109	0.2079071	0.00675175
13.7	0.25331816	0.12994057	0.20790693	0.00640841
13.8	0.25331593	0.12994003	0.2079067	0.00663329
13.9	0.25331377	0.12993946	0.2079064	0.00654164
14	0.25331168	0.12993887	0.20790605	0.00628498
14.1	0.25330968	0.12993827	0.20790563	0.00663328
14.2	0.25330777	0.12993765	0.20790517	0.00646212
14.3	0.25330597	0.12993702	0.20790465	0.00635934
14.4	0.25330429	0.12993639	0.20790409	0.00631741
14.5	0.25330272	0.12993576	0.20790348	0.0066072
14.6	0.25330129	0.12993512	0.20790283	0.00657776
14.7	0.2533	0.12993449	0.20790215	0.00668253
14.8	0.25329884	0.12993387	0.20790144	0.00659599
14.9	0.25329783	0.12993327	0.20790071	0.00628463
15	0.25329697	0.12993267	0.20789995	0.00625165
15.1	0.25329626	0.1299321	0.20789917	0.00634888
15.2	0.25329571	0.12993155	0.20789839	0.00633994
15.3	0.25329531	0.12993102	0.20789759	0.00673217
15.4	0.25329506	0.12993051	0.20789679	0.0066326
15.5	0.25329498	0.12993004	0.207896	0.00662478
15.6	0.25329504	0.1299296	0.20789521	0.0063879
15.7	0.25329525	0.12992919	0.20789443	0.00645235
15.8	0.25329561	0.12992882	0.20789367	0.00630587
15.9	0.25329611	0.12992849	0.20789292	0.00634194
16	0.25329675	0.12992819	0.2078922	0.00673605
16.1	0.25329753	0.12992793	0.2078915	0.00672732
16.2	0.25329843	0.12992772	0.20789084	0.00624708
16.3	0.25329944	0.12992754	0.20789021	0.00648167
16.4	0.25330057	0.12992741	0.20788961	0.00658031
16.5	0.25330181	0.12992732	0.20788906	0.00626806
16.6	0.25330313	0.12992727	0.20788854	0.00674282
16.7	0.25330455	0.12992726	0.20788807	0.00671767
16.8	0.25330604	0.12992729	0.20788765	0.00666623
16.9	0.2533076	0.12992736	0.20788728	0.00674085
17	0.25330921	0.12992748	0.20788695	0.00675272
