TIME	X:1	R:1	Y:1	noise:1
0	0.04474	0.02753	0.09788	0.00138343
0.1	0.04474037	0.02752999	0.09788019	0.00139423
0.2	0.04474062	0.02752999	0.09788038	0.00132375
0.3	0.04474076	0.02753001	0.09788056	0.00139138
0.4	0.04474081	0.02753002	0.09788073	0.00141103
0.5	0.04474079	0.02753003	0.0978809	0.00139678
0.6	0.04474071	0.02753004	0.09788106	0.00142028
0.7	0.04474059	0.02753005	0.09788122	0.00137015
0.8	0.04474042	0.02753005	0.09788137	0.00132895
0.9	0.04474022	0.02753004	0.09788151	0.0013571
1	0.04474001	0.02753003	0.09788165	0.00136002
1.1	0.04473977	0.02753	0.09788177	0.00132916
1.2	0.04473953	0.02752997	0.09788189	0.00135202
1.3	0.04473928	0.02752993	0.09788199	0.0013986
1.4	0.04473903	0.02752989	0.09788209	0.00132797
1.5	0.04473878	0.02752983	0.09788217	0.00134373
1.6	0.04473855	0.02752977	0.09788224	0.00135467
1.7	0.04473832	0.02752971	0.09788229	0.00134212
1.8	0.04473811	0.02752964	0.09788234	0.00133138
1.9	0.04473792	0.02752957	0.09788237	0.00141481
2	0.04473775	0.0275295	0.09788239	0.00142305
2.1	0.0447376	0.02752942	0.09788239	0.00135261
2.2	0.04473747	0.02752934	0.09788239	0.00133125
2.3	0.04473736	0.02752927	0.09788237	0.0014256
2.4	0.04473729	0.02752919	0.09788234	0.00134099
2.5	0.04473723	0.02752912	0.0978823	0.001369
2.6	0.0447372	0.02752905	0.09788225	0.00141176
2.7	0.0447372	0.02752899	0.09788219	0.0014242
2.8	0.04473721	0.02752893	0.09788213	0.00139376
2.9	0.04473726	0.02752887	0.09788206	0.00140832
3	0.04473732	0.02752882	0.09788199	0.00139156
3.1	0.0447374	0.02752878	0.09788191	0.0014261
3.2	0.0447375	0.02752875	0.09788182	0.00140867
3.3	0.04473762	0.02752872	0.09788174	0.00140839
3.4	0.04473775	0.02752869	0.09788166	0.00141427
3.5	0.04473789	0.02752868	0.09788157	0.00134833
3.6	0.04473804	0.02752867	0.09788149	0.00138017
3.7	0.0447382	0.02752867	0.09788141	0.00135122
3.8	0.04473836	0.02752867	0.09788134	0.00135273
3.9	0.04473853	0.02752868	0.09788127	0.00134263
4	0.0447387	0.0275287	0.0978812	0.00134189
4.1	0.04473886	0.02752872	0.09788114	0.00140494
4.2	0.04473902	0.02752875	0.09788109	0.00141786
4.3	0.04473918	0.02752878	0.09788105	0.00135013
4.4	0.04473933	0.02752882	0.09788101	0.00138292
4.5	0.04473947	0.02752886	0.09788098	0.00136747
4.6	0.04473959	0.0275289	0.09788095	0.00133874
4.7	0.04473971	0.02752894	0.09788094	0.00132859
4.8	0.04473981	0.02752899	0.09788093	0.0014256
4.9	0.0447399	0.02752903	0.09788093	0.00132453
5	0.04473998	0.02752908	0.09788094	0.00135806
5.1	0.04474004	0.02752912	0.09788095	0.00138761
5.2	0.04474008	0.02752917	0.09788097	0.00141413
5.3	0.04474011	0.02752921	0.097881	0.0013461
5.4	0.04474012	0.02752925	0.09788103	0.00139101
5.5	0.04474012	0.02752929	0.09788106	0.00138354
5.6	0.0447401	0.02752933	0.09788111	0.00139377
5.7	0.04474007	0.02752936	0.09788115	0.00133566
5.8	0.04474003	0.02752939	0.0978812	0.00134397
5.9	0.04473998	0.02752941	0.09788125	0.00138403
6	0.04473991	0.02752943	0.0978813	0.00133163
6.1	0.04473984	0.02752945	0.09788135	0.0013615
